Student_ID,Future,Aging,PROGRAM,DEGREE,COLLEGE,bb_activity_latest,bb_gip_etc_ratio_std,cum_gpa,cum_credits,ba_credits_passed_prior1yr,ba_age,Gender,cp_prior3mon_pay_cnt,cp_prior3mon_pay_total,payment_auto_flag,risk,NATION_DESC,ind,current_balance,module_cp,day_since_end,in_module,day_since_begin,in_future,day_to_begin,in_dissertation
J00053809,0,30,MS_SHRM,MS,MG,33,89.359654096,2.5,20,10.471232877,31,M,0,0,0,0,NIGERIA,10,1161.11,3,19,1,4,0,365,0
J00053810,0,30,MS_PRJ,MS,MG,74,,2.0,20,4.3637426901,30,F,0,0,0,1,LIBERIA,7,1161.11,1,158,0,365,0,365,0
J00053811,1157.22,0,MS_PSY,MS,PY,1,76.53846793,0.2,0,0,33,F,0,0,0,0,ZIMBABWE,9,0,1,9,0,365,1,27,0
J00053817,0,30,MA_MAEL,MA,ED,1,,2.2,20,5.9883040936,42,F,1,500,0,0,FRANCE,7,400,2,46,1,10,0,365,0
J00053817,1100,0,MA_MAEL,MA,ED,1,106.89532473,2.2,20,8.2389162562,42,F,1,400,0,0,FRANCE,9,0,2,107,1,71,1,27,0
J00053817,0,30,MA_MAEL,MA,ED,32,103.32907769,2.2,20,8.1486486486,42,F,2,800,0,0,FRANCE,10,700,3,19,1,4,0,365,0
J00053825,0,330,MA_MAEC,MA,ED,125,,0.3,0,0,36,F,0,0,0,1,NIGERIA,7,1100,1,158,0,365,0,365,0
J00053825,0,330,MA_MAEC,MA,ED,11,44.93750857,0.3,0,0,36,F,0,0,0,1,NIGERIA,8,1100,1,189,0,365,0,365,0
J00053825,0,330,MA_MAEC,MA,ED,41,44.93750857,0.3,0,0,36,F,0,0,0,1,NIGERIA,9,1100,1,219,0,365,0,365,0
J00053825,0,330,MA_MAEC,MA,ED,72,44.93750857,0.3,0,0,36,F,0,0,0,1,NIGERIA,10,1100,1,250,0,365,0,365,0
J00053844,0,150,MS_PRJ,MS,MG,102,,0.0,0,0,44,F,0,0,0,1,SOUTH AFRICA,7,664.82,1,46,0,365,0,365,0
J00053844,0,180,MS_PRJ,MS,MG,133,0.2488829368,0.0,0,0,44,F,0,0,0,1,SOUTH AFRICA,8,664.82,1,77,0,365,0,365,0
J00053844,0,330,MS_PRJ,MS,MG,163,0.2488829368,0.0,0,0,44,F,0,0,0,1,SOUTH AFRICA,9,664.82,1,107,0,365,0,365,0
J00053844,0,330,MS_PRJ,MS,MG,194,0.2488829368,0.0,0,0,44,F,0,0,0,1,SOUTH AFRICA,10,664.82,1,138,0,365,0,365,0
J00053845,0,30,MPH,MPH,PH,5,,2.6,20,3.9257188498,44,M,1,600,0,0,ZIMBABWE,7,557.22,2,25,1,10,0,365,0
J00053845,1161.11,0,MPH,MPH,PH,9,65.492518411,2.6,20,3.6683636364,44,M,2,1157.22,0,1,ZIMBABWE,9,0,2,86,1,71,0,365,0
J00053845,0,30,MPH,MPH,PH,40,52.394014729,2.6,20,3.6892539357,44,M,1,557.22,0,1,ZIMBABWE,10,1161.11,3,19,1,4,0,365,0
J00053846,1100,0,MA_MAEL,MA,ED,2,116.85556443,1.0,0,5.4926108374,36,F,2,1121.99,0,0,UNITED KINGDOM,9,0,1,107,1,71,1,27,0
J00053847,0,30,MA_MAISE,MA,ED,153,,0.3,0,0,33,M,0,0,0,1,KUWAIT,7,1100,1,158,0,365,0,365,0
J00053848,1161.11,0,MS_SHRM,MS,MG,76,30.683253466,0.0,0,0,32,F,0,0,0,1,NIGERIA,9,0,1,9,0,365,0,365,0
J00053848,0,30,MS_SHRM,MS,MG,107,30.683253466,0.0,0,0,32,F,0,0,0,1,NIGERIA,10,1161.11,1,40,0,365,0,365,0
J00053853,1161.11,0,MS_SHRM,MS,MG,3,144.43885887,2.4,20,6.9823529412,26,F,1,1161.11,0,0,GHANA,9,0,1,219,1,71,1,27,0
J00053853,0,30,MS_SHRM,MS,MG,34,157.5828755,2.4,20,6.9808219178,26,F,1,590,0,0,GHANA,10,571.11,2,19,1,4,0,365,0
J00053854,0,330,MS_PSY,MS,PY,218,,0.0,0,0,48,F,0,0,0,0,UNITED KINGDOM,7,161.11,1,158,0,365,0,365,0
J00053854,0,330,MS_PSY,MS,PY,249,18.388318763,0.0,0,0,48,F,0,0,0,0,UNITED KINGDOM,8,161.11,1,189,0,365,0,365,0
